angle,ratio,O,Nhat,omega,it_basic,lmin_basic,lmax_basic,it_flat,lmin_flat,lmax_flat,it_exact,lmin_exact,lmax_exact
0.0,10,1,4,1.4673,196,0.0011865730590444432,4.012242209515668,137,0.001053703535298683,1.5194078769804624,88,0.005765963825009928,4.0000000000000036
0.0,10,2,4,1.4682,211,0.001363243312397795,4.259085509297578,132,0.0011117254583053729,1.4975331176594435,68,0.009918381434905752,4.000000000000003
0.0,10,3,4,1.469,218,0.0015161047034123517,4.64731380058243,130,0.0011331301806737067,1.4918298323402395,59,0.014332531311190486,4.000000000000002
0.0,10,4,4,1.4693,216,0.0016719558196604224,4.958027099641075,128,0.001142649673233704,1.489379739429883,53,0.019038593389671343,3.9999999999999982
0.0,10,5,4,1.4704,212,0.0018410556251047547,5.181501991313227,117,0.0011473352744413789,1.4881852223057335,49,0.024076804161736843,4.000000000000001
0.0,20,0,1,1.5485,170,0.0011221693207396426,1.8353181914790544,170,0.0011221693207396426,1.8353181914790544,132,0.0019451545679925726,1.9980513297010973
0.0,20,1,4,1.5511,189,0.0018462361988537124,4.00540178610567,138,0.001606053218474053,1.6450989353284968,93,0.006039073221646332,4.000000000000001
0.0,20,2,4,1.5533,192,0.0022090154141107712,4.157710301799369,130,0.001762453854720034,1.6115557754149392,81,0.010392964350257808,4.0000000000000036
0.0,20,3,4,1.5553,192,0.0025002803605791712,4.491183286009217,126,0.0018295838650107964,1.5903588936428188,70,0.015025795017858687,4.000000000000007
0.0,20,4,4,1.557,189,0.0027798833309301977,4.828301062508201,123,0.0018636669416520566,1.5823510075983154,61,0.01997075485631743,3.999999999999999
0.0,20,5,4,1.5585,185,0.0030703878453171743,5.109749566697188,122,0.0018827024301050444,1.5803147596402316,55,0.025269727627105613,3.999999999999998
0.0,50,0,1,1.6112,157,0.0015026086599047323,1.9055208351060735,157,0.0015026086599047323,1.9055208351060735,128,0.0020018563568252774,1.9978330982931298
0.0,50,1,4,1.6181,178,0.003057345721656436,4.001678688785064,127,0.0025607320724314875,1.8286957491669036,109,0.006214197734830531,4.000000000000014
0.0,50,2,4,1.6242,174,0.003972110505205162,4.066416114986283,116,0.0030288115685807916,1.8349104953426194,101,0.010694111495767078,4.000000000000005
