ratio,angle,O,it_basic,lmin_basic,lmax_basic,it_flat,lmin_flat,lmax_flat,it_graded,lmin_graded,lmax_graded,it_ramp,lmin_ramp,lmax_ramp,it_harm,lmin_harm,lmax_harm,it_exact
10,45.0,4,172,0.0008519393268115575,4.431496383886675,122,0.0005776696576399085,1.3900194620999156,108,0.0006412629079761449,1.2139651011141888,107,0.0006479937396360562,1.2141234435854031,107,0.0006504065085032895,1.2142767234591703,57
10,45.0,5,168,0.0009364915539340577,4.535502785270598,121,0.000583121642910161,1.3828078153461587,106,0.0006602512332703076,1.2137675677036754,106,0.0006647985061764506,1.213966397715661,106,0.000667715155131435,1.214274625124326,50
10,45.0,6,163,0.0010285736339444192,4.603853532784753,120,0.0005866042828842956,1.3819433808789936,105,0.0006740224892459837,1.2136197424946098,105,0.000676930382299836,1.2138174272500342,105,0.0006803144015238124,1.2143119583607627,45
10,45.0,8,149,0.0012494748587475754,4.682282708801155,121,0.0005913509463779384,1.4244831146914547,104,0.0006913027447575342,1.2134978282455244,103,0.0006932963288725263,1.2134798205586896,103,0.0006974928801869415,1.2144234166120216,38
100,45.0,1,218,0.0002479706316563146,4.000058865354929,200,0.00019366178673870416,1.9961983068776574,189,0.00019924343920308361,1.8463543988293085,206,0.00020120436930279057,2.3664750414147795,198,0.00020255305544260478,2.079816673454277,196
100,45.0,2,183,0.00039611069310199347,4.013395841749418,177,0.00026945944060291705,2.132359352789895,152,0.00030145562360933963,1.766255921023571,160,0.00031023048582438424,2.0842428043998935,154,0.0003136777839919345,1.9309970740319373,151
100,45.0,3,166,0.0005318969923146108,4.04181558999052,168,0.0003212120553010316,2.2217726923654775,132,0.0003928686582040699,1.6654050028875562,136,0.0004034778890756507,1.8463614769036722,134,0.00040942807207743146,1.7820650734560555,124
100,45.0,4,153,0.0006593795806799496,4.084031607795996,160,0.000357619784686739,2.220953716777105,117,0.00047293017009455713,1.5781761102109995,119,0.00048207759896366347,1.6592866793345018,118,0.0004907501022960724,1.6498404833783424,105
100,45.0,5,143,0.000782273205810841,4.1403162161327565,155,0.0003840307173795015,2.2409267503353516,108,0.0005413990153162913,1.5088454793767014,107,0.000548170720110871,1.5269309668335198,106,0.0005597050880788427,1.526759723672651,92
100,45.0,6,136,0.0009013960742874882,4.200477091700194,154,0.00040404041713927016,2.3285102688457857,102,0.0005990743206747769,1.4969510030506605,98,0.0006038646291858409,1.4024282107192738,97,0.0006183855508967273,1.4003024126400625,81
100,45.0,8,123,0.001134710707511866,4.321332508088623,155,0.0004320900329038554,2.576974508351428,94,0.0006870511117926046,1.5072328239051205,87,0.0006906478736584615,1.2541455912718271,84,0.0007114360395148485,1.2160579805823317,65
1,0.0,1,205,0.00029593072217516675,4.0488096866602366,161,0.0002687794546983917,1.2767123434882397,157,0.0002705228461933627,1.2396404973075363,159,0.0002712703569487157,1.2649269036510202,160,0.00027121161374538133,1.3213964693742197,72
1,0.0,2,249,0.00032596571359126757,4.375676611641894,157,0.00027179121738169653,1.2630518990167687,151,0.0002770492544853227,1.2207159260187832,150,0.0002790551875982506,1.2318506918938026,150,0.00027902543691659586,1.2398322991085635,57
1,0.0,3,264,0.0003568250680160125,4.516762757873907,156,0.00027233631765484056,1.2610139662237285,147,0.0002806465765479952,1.2182551731464446,145,0.00028261579571239626,1.2188449526702572,145,0.00028261860710360686,1.222356275265034,48
1,0.0,4,264,0.0003913776510749368,4.641301030092527,155,0.0002724809606670996,1.2609515142078729,138,0.00028311667426479355,1.2182537653750238,133,0.000284646709873106,1.2182564909797537,133,0.0002846810872901264,1.2182581709935818,42
1,0.0,5,260,0.0004307923177493524,4.698087633009872,154,0.00027255316232489027,1.260947484203287,142,0.00028487718813888154,1.2182540394032115,142,0.00028595791843557514,1.21825635854232,142,0.00028602024168578456,1.218256044381459,39
1,0.0,6,253,0.00047608744252570156,4.727705588185644,153,0.0002726111589780093,1.2609504062559478,143,0.00028612963010991025,1.2182531189073111,142,0.000286875298689001,1.2182559689146133,142,0.00028696127803535366,1.218255729294572,35
