# deflation comparison: n=24 nd=13824 steps=350 regime=0 nsub=64 (m: Sys1 4 Sys2 4 Sys3 8)
step,t,s1_v0,s1_v1,s1_v2,s1_v3,s1_v4,s1_v5,s2_v0,s2_v1,s2_v2,s2_v3,s2_v4,s2_v5,s3_v0,s3_v1,s3_v2,s3_v3,s3_v4,s3_v5
96,96,16,0,15,0,0,0,172,0,75,0,0,0,158,1,56,1,1,1
97,97,16,0,15,0,0,0,172,0,75,0,0,0,158,1,56,1,1,1
98,98,16,0,15,0,0,0,172,0,75,0,0,0,158,0,56,0,0,0
99,99,16,0,15,0,0,0,172,0,75,0,0,0,158,0,56,0,0,0
100,100,16,0,15,0,0,0,172,0,75,0,0,0,158,0,56,0,0,0
101,101,16,0,15,0,0,0,172,0,75,0,0,0,158,0,56,0,0,0
102,102,16,0,15,0,0,0,172,0,75,0,0,0,158,0,56,0,0,0
103,103,16,0,15,0,0,0,172,0,75,0,0,0,158,0,56,0,0,0
104,104,16,0,15,0,0,0,172,0,75,0,0,0,158,0,56,0,0,0
105,105,16,0,15,0,0,0,172,0,75,0,0,0,158,0,56,0,0,0
106,106,16,0,15,0,0,0,172,0,75,0,0,0,158,0,56,0,0,0
107,107,16,0,15,0,0,0,172,0,75,0,0,0,158,0,56,0,0,0
108,108,16,0,15,0,0,0,172,0,75,0,0,0,158,0,56,0,0,0
109,109,16,0,15,0,0,0,172,0,75,0,0,0,158,0,56,0,0,0
110,110,16,0,15,0,0,0,172,0,75,0,0,0,158,0,56,0,0,0
111,111,16,0,15,0,0,0,172,0,75,0,0,0,158,0,56,0,0,0
112,112,16,0,15,0,0,0,172,0,75,0,0,0,158,0,56,0,0,0
113,113,16,0,15,0,0,0,172,0,75,0,0,0,158,0,56,0,0,0
114,114,16,0,15,0,0,0,172,0,75,0,0,0,158,0,56,0,0,0
115,115,16,0,15,0,0,0,172,0,75,0,0,0,158,0,56,0,0,0
116,116,16,0,15,0,0,0,172,0,75,0,0,0,158,0,56,0,0,0
117,117,16,0,15,0,0,0,172,0,75,0,0,0,158,0,56,0,0,0
118,118,16,0,15,0,0,0,172,0,75,0,0,0,158,0,56,0,0,0
119,119,16,0,15,0,0,0,171,0,75,0,0,0,158,0,56,0,0,0
120,120,16,0,15,0,0,0,171,0,75,0,0,0,158,0,56,0,0,0
121,121,16,0,15,0,0,0,171,1,75,1,1,1,158,0,56,0,0,0
122,122,16,0,15,0,0,0,171,1,75,1,1,1,158,0,56,0,0,0
123,123,16,0,15,0,0,0,171,0,75,0,0,0,158,0,56,0,0,0
124,124,16,0,15,0,0,0,171,0,75,0,0,0,158,0,56,0,0,0
125,125,16,0,15,0,0,0,171,0,75,0,0,0,158,0,56,0,0,0
126,126,16,0,15,0,0,0,171,0,75,0,0,0,158,0,56,0,0,0
127,127,16,0,15,0,0,0,171,0,75,0,0,0,158,0,56,0,0,0
128,128,16,0,15,0,0,0,171,0,75,0,0,0,158,0,56,0,0,0
129,129,16,0,15,0,0,0,171,0,75,0,0,0,158,0,56,0,0,0
130,130,16,0,15,0,0,0,171,0,75,0,0,0,158,0,56,0,0,0
131,131,16,0,15,0,0,0,171,0,75,0,0,0,158,0,56,0,0,0
132,132,16,0,15,0,0,0,171,0,75,0,0,0,158,0,56,0,0,0
133,133,16,0,15,0,0,0,171,0,75,0,0,0,158,0,56,0,0,0
134,134,16,0,15,0,0,0,171,0,75,0,0,0,158,0,56,0,0,0
135,135,16,0,15,0,0,0,171,0,75,0,0,0,158,0,56,0,0,0
136,136,16,0,15,0,0,0,171,0,75,0,0,0,158,0,56,0,0,0
137,137,16,0,15,0,0,0,171,0,75,0,0,0,158,0,56,0,0,0
138,138,16,0,15,0,0,0,171,0,75,0,0,0,158,0,56,0,0,0
139,139,16,0,15,0,0,0,171,0,75,0,0,0,158,0,55,0,0,0
140,140,16,0,15,0,0,0,171,0,75,0,0,0,158,0,55,0,0,0
141,141,16,0,15,0,0,0,171,0,75,0,0,0,158,0,55,0,0,0
142,142,16,0,15,0,0,0,171,0,75,0,0,0,157,0,55,0,0,0
143,143,16,0,15,0,0,0,171,0,75,0,0,0,157,0,55,0,0,0
144,144,16,0,15,0,0,0,171,0,75,0,0,0,157,0,55,0,0,0
145,145,16,0,15,0,0,0,171,0,75,0,0,0,157,1,55,1,1,1
146,146,16,0,15,0,0,0,171,0,75,0,0,0,157,1,55,1,1,1
147,147,16,0,15,0,0,0,171,0,75,0,0,0,157,1,55,1,1,1
148,148,16,0,15,0,0,0,171,0,75,0,0,0,157,1,55,1,1,1
149,149,16,0,15,0,0,0,171,0,75,0,0,0,157,1,55,1,1,1
150,150,16,0,15,0,0,0,171,0,75,0,0,0,157,0,55,0,0,0
151,151,16,0,15,0,0,0,171,0,75,0,0,0,157,0,55,0,0,0
152,152,16,0,15,0,0,0,171,0,75,0,0,0,157,0,55,0,0,0
153,153,16,0,15,0,0,0,171,0,75,0,0,0,157,0,55,0,0,0
154,154,16,0,15,0,0,0,171,0,75,0,0,0,157,0,55,0,0,0
155,155,16,0,15,0,0,0,171,0,75,0,0,0,157,0,55,0,0,0
156,156,16,0,15,0,0,0,171,0,75,0,0,0,157,0,55,0,0,0
157,157,16,0,15,0,0,0,171,0,75,0,0,0,157,0,55,0,0,0
158,158,16,0,15,0,0,0,171,0,75,0,0,0,157,0,55,0,0,0
159,159,16,0,15,0,0,0,171,0,75,0,0,0,157,0,55,0,0,0
160,160,16,0,15,0,0,0,171,0,75,0,0,0,157,0,55,0,0,0
161,161,16,0,15,0,0,0,171,0,75,0,0,0,157,0,55,0,0,0
162,162,16,0,15,0,0,0,171,0,75,0,0,0,157,0,55,0,0,0
163,163,16,0,15,0,0,0,171,0,75,0,0,0,157,0,55,0,0,0
164,164,16,0,15,0,0,0,170,0,75,0,0,0,157,0,55,0,0,0
165,165,16,0,15,0,0,0,170,0,75,0,0,0,157,0,55,0,0,0
166,166,16,0,15,0,0,0,170,1,75,1,1,1,157,0,55,0,0,0
167,167,16,0,15,0,0,0,170,1,75,1,1,1,157,0,55,0,0,0
168,168,16,0,15,0,0,0,170,0,75,0,0,0,157,0,55,0,0,0
169,169,16,0,15,0,0,0,170,0,75,0,0,0,157,0,55,0,0,0
170,170,16,0,15,0,0,0,170,0,75,0,0,0,157,0,55,0,0,0
171,171,16,8,15,8,8,9,170,130,75,50,103,46,157,118,55,35,90,35
172,172,16,9,15,9,10,10,170,128,75,53,114,49,157,121,55,36,85,35
173,173,16,10,15,10,10,11,171,133,75,53,115,51,157,122,55,37,86,37
174,174,16,10,15,10,11,12,171,147,75,62,131,60,158,93,56,38,86,38
175,175,16,11,15,11,11,12,172,141,75,56,133,56,161,130,56,42,105,41
176,176,16,11,15,11,12,13,169,141,75,58,130,58,164,130,56,43,112,43
177,177,16,11,15,11,12,13,167,144,75,59,133,59,168,128,57,42,113,43
178,178,16,11,15,11,12,13,166,143,74,57,131,57,169,127,57,43,111,43
179,179,16,11,15,11,12,13,166,137,74,57,124,57,169,131,58,44,115,43
180,180,16,11,15,11,12,13,165,140,73,57,127,56,169,133,58,43,115,43
181,181,16,12,16,12,12,13,165,139,72,57,123,57,169,131,58,43,114,43
182,182,16,12,16,12,12,13,163,138,72,56,123,55,169,129,58,43,113,43
183,183,16,12,16,12,12,13,162,137,72,55,122,55,169,128,59,43,110,43
184,184,16,12,16,12,12,13,162,136,72,55,125,54,168,130,59,42,111,42
185,185,16,12,16,12,12,13,161,136,72,55,124,55,167,126,59,39,105,40
186,186,16,12,16,12,12,13,161,123,72,54,118,53,165,117,59,37,81,37
187,187,16,12,16,12,12,13,161,129,72,53,121,54,164,114,58,36,91,35
188,188,16,12,16,12,12,14,161,128,72,53,103,53,163,118,58,36,92,36
189,189,16,12,16,12,12,14,161,134,72,53,122,53,162,112,58,33,70,33
190,190,16,12,16,12,12,14,161,132,72,52,105,52,162,105,58,32,68,32
191,191,16,12,16,12,12,14,161,113,72,53,120,53,161,107,58,29,70,29
192,192,16,12,16,12,12,14,161,127,72,51,119,51,161,66,58,25,54,26
193,193,16,12,16,12,12,14,161,132,72,51,96,51,160,55,58,23,38,23
194,194,16,12,16,12,12,14,161,127,72,52,112,51,160,50,58,21,37,21
195,195,16,12,16,12,12,13,161,114,72,52,118,52,160,66,58,24,53,23
196,196,17,12,16,12,12,14,161,126,72,50,119,49,160,48,58,22,29,22
197,197,17,12,16,12,12,13,161,128,72,51,115,50,160,34,58,20,28,19
198,198,17,12,17,12,12,14,161,127,72,52,118,51,160,40,58,19,31,19
199,199,17,12,17,12,12,13,161,115,72,52,119,51,159,55,58,21,45,21
200,200,17,12,17,12,12,14,161,125,72,50,121,49,159,36,58,19,27,19
201,201,17,12,17,12,12,13,161,126,72,51,117,49,159,34,58,19,28,19
202,202,17,12,17,12,12,14,161,125,73,51,118,50,159,32,57,17,28,17
203,203,17,12,17,12,12,14,161,115,73,52,119,52,159,57,57,21,46,22
204,204,17,12,17,12,12,14,161,125,73,50,117,49,159,43,57,19,29,18
205,205,17,11,17,12,12,13,161,126,73,51,107,50,159,28,57,17,25,17
206,206,17,11,17,12,12,13,161,124,73,51,99,51,159,27,57,16,26,16
207,207,17,11,17,11,12,13,161,116,74,52,119,51,159,52,57,20,43,20
208,208,17,11,17,11,12,13,162,123,74,50,103,50,158,30,57,16,25,16
209,209,17,11,17,11,12,13,162,124,74,50,103,49,158,50,57,19,37,20
210,210,16,11,16,11,12,13,162,123,74,51,104,49,158,41,57,18,32,18
211,211,16,11,16,11,11,13,163,116,74,51,117,50,158,47,56,18,39,19
212,212,16,11,16,11,11,13,164,118,74,48,105,49,158,47,56,19,40,19
213,213,16,11,16,11,11,13,164,123,74,49,100,49,158,42,56,18,32,18
214,214,16,11,16,11,11,13,165,124,75,50,102,49,158,35,56,17,28,17
215,215,16,11,16,11,11,13,165,117,75,51,93,49,157,41,56,17,32,18
216,216,16,11,16,11,11,13,165,120,75,49,111,48,157,41,56,17,33,18
217,217,16,11,16,11,11,13,165,122,75,50,104,48,157,34,56,16,28,17
218,218,16,11,16,11,11,12,165,125,75,51,101,50,157,30,56,16,26,16
219,219,16,11,16,11,11,13,165,118,75,51,113,50,156,36,56,16,29,17
220,220,16,11,16,11,11,13,165,123,75,50,92,48,154,36,56,16,29,17
221,221,16,11,16,11,11,13,165,118,75,50,113,49,148,29,55,16,24,16
222,222,16,11,16,11,11,12,165,122,76,51,103,51,146,28,55,15,25,16
223,223,16,11,16,11,11,12,165,118,76,51,114,50,141,33,55,16,28,16
224,224,16,11,16,11,11,13,165,123,76,49,110,49,144,32,55,16,26,16
225,225,16,11,16,11,11,12,166,116,76,50,111,50,146,25,55,15,21,15
226,226,16,11,16,11,11,13,167,126,76,52,102,52,147,26,55,15,25,15
227,227,16,11,16,11,11,12,167,127,76,52,101,52,154,38,55,16,31,17
228,228,16,11,16,11,11,12,167,127,77,51,113,51,154,36,55,16,31,16
229,229,16,10,16,11,11,12,168,115,77,51,115,51,155,22,55,14,22,14
230,230,16,11,16,11,11,12,168,127,77,52,114,53,155,25,55,14,24,15
231,231,16,11,16,11,11,12,169,128,77,52,115,51,154,51,55,24,46,24
232,232,16,10,16,11,11,12,169,129,77,52,115,51,155,71,55,27,57,26
233,233,16,10,16,10,11,12,169,115,77,52,119,51,156,69,55,27,54,27
234,234,16,10,16,11,11,12,172,116,77,53,117,52,157,77,55,29,66,29
235,235,16,10,16,10,11,12,172,129,77,52,116,51,157,74,55,30,65,30
236,236,16,10,16,10,11,12,172,128,77,52,119,51,157,74,55,30,64,30
237,237,16,10,16,10,11,12,172,133,78,52,109,51,157,81,55,30,59,30
238,238,16,10,16,10,11,12,172,133,78,53,118,52,157,105,55,31,73,31
239,239,16,10,16,10,11,12,171,133,78,53,119,52,157,107,55,30,72,30
240,240,16,10,16,10,11,12,172,127,77,53,118,51,157,84,55,30,71,30
241,241,16,10,16,10,11,12,172,131,77,53,118,52,156,81,55,30,63,30
242,242,16,10,16,10,11,12,171,127,77,53,119,53,156,60,55,29,59,29
243,243,16,10,16,10,11,12,171,135,77,54,121,52,156,66,55,28,59,28
244,244,16,10,16,10,11,12,171,130,77,53,118,52,155,79,55,30,74,30
245,245,16,10,16,10,11,12,170,129,77,54,118,52,155,78,55,29,70,29
246,246,16,10,16,10,11,12,170,127,77,53,117,53,155,75,55,28,55,28
247,247,16,10,16,10,11,12,171,135,77,54,120,52,155,59,55,25,53,24
248,248,16,10,16,10,11,12,171,131,77,53,117,52,155,65,55,24,54,24
249,249,16,10,16,10,10,12,171,130,77,54,106,53,155,99,55,24,61,24
250,250,16,10,16,10,10,12,171,128,77,53,120,54,155,100,55,24,58,25
251,251,16,10,16,10,10,12,171,135,77,54,121,53,155,59,55,21,43,20
252,252,16,10,16,10,10,12,171,134,77,53,119,52,155,43,55,18,32,18
253,253,16,10,16,10,10,12,170,130,77,54,114,53,155,46,55,19,41,19
254,254,16,10,16,10,10,12,161,130,77,54,121,54,155,43,55,18,36,18
255,255,16,10,16,10,10,12,167,135,77,54,122,53,155,43,55,18,35,18
256,256,16,10,16,10,10,12,170,134,77,54,119,52,155,41,55,19,30,19
257,257,16,10,16,10,10,12,170,130,77,54,119,52,155,43,55,19,39,19
258,258,16,10,16,10,10,12,170,132,77,54,99,54,155,42,55,18,40,18
259,259,16,10,16,10,10,12,170,134,78,54,122,52,154,36,55,17,32,18
260,260,16,10,16,10,10,12,170,135,78,53,120,52,154,31,55,18,28,18
261,261,16,10,16,10,10,12,170,130,78,54,119,52,154,41,55,18,35,19
262,262,16,10,16,10,10,12,169,133,78,54,122,54,154,41,55,17,36,18
263,263,16,10,16,10,10,12,169,135,78,53,121,52,154,33,55,17,30,17
264,264,16,10,16,10,10,12,169,134,78,53,121,53,154,28,55,17,28,17
265,265,16,10,16,10,10,12,169,130,77,53,120,52,154,37,55,18,33,18
266,266,16,10,16,10,10,12,169,132,77,54,122,54,154,38,55,17,35,17
267,267,16,10,16,10,10,12,169,117,77,53,117,51,154,30,55,16,27,16
268,268,16,10,16,10,10,12,169,128,77,52,103,53,154,27,55,16,27,16
269,269,16,10,16,10,10,12,169,118,78,53,119,52,154,34,55,17,31,17
270,270,16,10,16,10,10,12,169,133,78,53,118,52,155,41,55,17,36,17
271,271,16,10,16,10,10,12,169,119,78,51,99,51,155,35,55,16,34,17
272,272,16,10,16,10,10,12,169,127,77,50,116,51,155,50,55,21,48,22
273,273,16,10,16,10,10,12,168,128,77,52,116,51,155,30,55,16,24,16
274,274,16,10,16,10,10,12,168,116,77,52,101,51,155,40,55,18,33,18
275,275,16,10,16,10,10,11,169,116,77,51,98,50,155,35,55,18,32,18
276,276,16,9,16,10,10,11,169,116,77,49,99,49,155,30,55,17,29,17
277,277,16,9,16,10,10,11,169,117,77,51,99,50,155,31,55,16,26,16
278,278,16,9,16,10,10,11,168,110,77,52,112,50,155,33,55,18,31,18
279,279,16,9,16,10,10,11,168,116,76,49,99,49,155,46,55,20,42,20
280,280,16,9,16,10,9,11,167,113,76,49,96,49,155,47,55,20,42,20
281,281,16,9,16,10,9,11,167,107,75,50,108,49,155,27,55,16,26,16
282,282,16,9,16,10,10,11,167,110,75,50,111,50,155,46,55,19,42,19
283,283,16,9,16,10,9,11,167,116,75,48,108,48,155,23,55,14,21,15
284,284,16,9,16,10,9,11,167,110,75,48,97,48,155,34,55,15,33,15
285,285,16,9,16,10,9,11,166,107,75,48,111,49,155,41,55,16,41,16
286,286,16,9,16,10,10,11,166,110,75,49,100,50,155,43,55,17,42,18
287,287,16,9,16,10,9,11,166,114,74,48,107,49,155,42,55,17,42,17
288,288,16,9,16,10,9,11,166,109,74,47,97,48,155,41,55,16,36,16
289,289,16,9,16,10,9,11,166,116,74,48,109,48,155,42,55,17,36,17
290,290,16,9,16,10,9,11,166,110,74,48,98,48,155,43,55,18,42,18
291,291,16,9,16,10,9,11,166,115,74,47,106,48,155,43,55,18,42,18
292,292,16,9,16,10,9,11,166,108,74,47,96,47,155,40,55,16,32,17
293,293,16,9,16,10,9,11,166,116,74,47,91,47,155,36,55,16,31,17
294,294,16,9,16,10,9,11,165,110,74,48,98,47,155,43,55,18,41,18
295,295,16,9,16,10,9,11,165,115,73,47,107,47,155,43,55,18,41,19
296,296,16,9,16,9,9,11,161,108,72,46,94,46,155,35,56,16,29,17
297,297,16,9,16,9,9,11,161,116,72,46,108,46,155,31,56,16,26,16
298,298,16,9,16,9,9,11,161,110,72,47,104,46,155,41,56,18,33,18
299,299,16,9,16,9,9,11,161,116,72,46,110,47,155,41,56,18,33,18
300,300,16,9,16,9,9,11,160,107,71,46,84,46,155,32,56,16,27,17
301,301,16,9,16,9,9,11,160,95,71,46,107,46,155,28,56,15,23,15
302,302,16,9,16,10,9,11,160,111,71,47,112,47,154,35,56,18,30,18
303,303,16,9,16,10,9,11,160,118,71,48,112,48,154,36,56,18,30,18
304,304,16,9,15,10,9,11,160,107,71,47,89,47,154,30,56,16,26,17
305,305,16,9,15,10,9,11,160,116,70,48,107,48,152,25,56,15,21,15
306,306,16,9,15,10,9,11,160,113,70,48,113,48,152,32,56,17,27,18
307,307,16,9,15,10,9,11,160,121,70,48,113,48,149,34,56,18,29,18
308,308,16,9,15,9,9,11,160,90,70,47,100,48,149,30,56,17,26,17
309,309,16,9,15,9,9,11,159,117,70,48,110,48,148,24,56,15,21,15
310,310,16,9,15,9,9,11,160,99,70,48,111,49,147,31,56,18,27,18
311,311,16,9,15,9,9,11,160,124,70,48,114,48,146,34,56,18,29,18
312,312,16,9,15,9,9,11,160,110,70,47,102,48,146,31,56,17,27,17
313,313,16,9,15,9,9,11,158,118,70,48,115,48,146,26,56,15,22,16
314,314,16,9,15,9,9,11,158,123,70,48,112,48,146,34,56,18,29,18
315,315,16,9,15,9,10,11,157,125,70,48,116,48,149,37,56,19,32,19
316,316,16,9,15,9,9,11,157,111,70,47,97,48,154,36,57,18,31,19
317,317,16,9,15,9,9,11,157,121,70,48,117,48,157,30,57,18,28,18
318,318,16,9,15,9,10,11,157,118,70,48,115,48,158,37,57,20,32,20
319,319,16,9,15,9,10,10,157,127,70,48,115,49,159,41,57,21,33,21
320,320,16,9,15,9,9,11,157,115,70,48,117,49,160,40,57,21,33,21
321,321,16,9,15,9,10,11,157,123,70,49,118,49,163,37,57,22,33,22
322,322,16,9,15,9,9,11,157,124,69,50,118,50,163,45,57,23,40,24
323,323,16,9,15,9,10,10,158,130,69,50,120,50,163,22,57,17,20,17
324,324,16,9,15,9,10,11,158,104,69,51,121,51,164,59,58,26,46,26
325,325,16,9,15,9,10,10,158,125,69,50,119,50,165,36,58,20,30,20
326,326,16,9,15,9,10,10,158,116,68,53,115,53,166,46,58,25,39,25
327,327,16,9,15,9,10,10,158,113,67,52,127,52,168,30,58,21,26,21
328,328,16,9,15,9,10,10,158,129,67,53,110,53,169,41,58,26,40,26
329,329,16,9,15,9,9,10,158,125,67,53,128,54,169,49,58,25,41,25
330,330,16,8,15,9,9,10,158,136,67,54,127,54,170,62,59,32,62,32
331,331,16,8,15,9,9,10,158,133,67,54,129,54,171,85,59,34,75,34
332,332,16,8,15,9,9,9,158,140,68,55,130,55,171,81,60,34,80,34
333,333,16,8,15,8,9,9,158,141,68,56,138,56,172,80,60,31,57,31
334,334,16,8,15,8,9,9,158,144,68,55,135,54,173,114,61,36,86,36
335,335,16,7,15,8,8,8,158,110,67,55,120,54,173,113,61,36,83,36
336,336,16,7,15,7,7,8,156,106,66,56,127,56,173,86,61,30,49,29
