# deflation comparison: n=24 nd=13824 steps=350 regime=2 nsub=64 (m: Sys1 4 Sys2 4 Sys3 8)
step,t,s1_v0,s1_v1,s1_v2,s1_v3,s1_v4,s1_v5,s2_v0,s2_v1,s2_v2,s2_v3,s2_v4,s2_v5,s3_v0,s3_v1,s3_v2,s3_v3,s3_v4,s3_v5
341,341,16,0,17,0,0,0,159,1,76,1,1,1,143,0,59,0,0,0
342,342,16,0,17,0,0,0,162,4,80,4,4,4,144,0,59,0,0,0
343,343,16,0,17,0,0,0,164,7,81,6,7,6,145,1,59,1,1,1
344,344,15,0,17,0,0,0,169,6,84,6,6,6,148,5,60,5,5,5
345,345,16,2,17,2,2,2,162,8,80,8,8,8,145,2,59,3,2,3
346,346,16,2,17,2,2,2,153,9,74,7,9,7,138,0,58,0,0,0
347,347,16,2,17,2,2,2,161,12,77,8,12,8,144,8,57,6,7,6
348,348,16,0,17,0,0,0,167,14,81,10,14,10,149,11,60,8,11,8
349,349,16,0,17,0,0,0,164,29,80,14,29,14,145,0,56,0,0,0
#
# ===== deflation comparison (regime 2) =====
# 几何粗空间一次性 setup: Sys1 0.045 s  Sys2 0.033 s  Sys3 0.034 s (64 次 matvec,被所有步摊销)
# --- Sys1 (m=4) ---
#   cold(不做)               5514 iters (  -0.0%)     1.526 s (  -0.0%)  0-iter 0
#   窗口 only                 455 iters ( -91.7%)     0.318 s ( -79.2%)  0-iter 98
#   几何粗空间 only       5950 iters (  +7.9%)     1.842 s ( +20.7%)  0-iter 0
#   几何粗空间+窗口      438 iters ( -92.1%)     0.334 s ( -78.1%)  0-iter 98
#   快照粗空间+窗口      454 iters ( -91.8%)     0.363 s ( -76.2%)  0-iter 98
#   几何+快照+窗口        447 iters ( -91.9%)     0.372 s ( -75.6%)  0-iter 98
# --- Sys2 (m=4) ---
#   cold(不做)              56890 iters (  -0.0%)    15.871 s (  -0.0%)  0-iter 0
#   窗口 only                3873 iters ( -93.2%)     1.288 s ( -91.9%)  0-iter 0
#   几何粗空间 only      27842 iters ( -51.1%)     8.653 s ( -45.5%)  0-iter 0
#   几何粗空间+窗口     2764 iters ( -95.1%)     1.067 s ( -93.3%)  0-iter 0
#   快照粗空间+窗口     3840 iters ( -93.3%)     1.648 s ( -89.6%)  0-iter 0
#   几何+快照+窗口       2760 iters ( -95.1%)     1.322 s ( -91.7%)  0-iter 0
# --- Sys3 (m=8) ---
#   cold(不做)              50660 iters (  -0.0%)    14.581 s (  -0.0%)  0-iter 0
#   窗口 only                1469 iters ( -97.1%)     0.709 s ( -95.1%)  0-iter 114
#   几何粗空间 only      20553 iters ( -59.4%)     6.787 s ( -53.5%)  0-iter 0
#   几何粗空间+窗口     1061 iters ( -97.9%)     0.639 s ( -95.6%)  0-iter 114
#   快照粗空间+窗口     1413 iters ( -97.2%)     0.910 s ( -93.8%)  0-iter 114
#   几何+快照+窗口       1052 iters ( -97.9%)     0.809 s ( -94.4%)  0-iter 114
