# asm_stride_test  n=24 nd=13824 steps=2500 dt=0.01 ms (T=25 ms) stride=1 (Sys2/Sys3 every 0.01 ms) win=16 wstride=50 (span 8 ms) gcut=1e-08 regime=0 pc=sASM+IC(0) nsub=4 ovl=1 setup=0.001 s
step,t_ms,s1_v0,s1_v1,s1_v2,s1_v3,s1_v4,s2_v0,s2_v1,s2_v2,s2_v3,s2_v4,s3_v0,s3_v1,s3_v2,s3_v3,s3_v4
56,0.5600,7,4,4,4,4,51,47,2,50,47,58,52,37,53,45
57,0.5700,7,4,4,4,3,47,47,0,50,46,58,52,37,53,45
58,0.5800,7,4,4,4,3,51,47,1,50,46,58,51,38,53,45
59,0.5900,7,4,3,4,3,51,47,0,50,45,58,51,38,54,44
60,0.6000,7,4,2,4,3,51,47,0,51,45,58,51,37,54,44
61,0.6100,7,4,2,4,3,52,47,0,51,44,58,51,37,54,44
62,0.6200,7,4,0,4,3,52,47,0,51,43,58,51,35,54,43
63,0.6300,7,4,3,4,3,52,47,0,51,42,58,51,32,54,43
64,0.6400,7,4,3,4,3,52,47,0,51,42,58,51,27,54,42
65,0.6500,7,4,2,5,3,52,47,0,51,41,58,51,11,55,41
66,0.6600,7,4,0,5,3,52,47,0,51,40,58,51,0,55,41
67,0.6700,7,4,0,5,3,52,47,0,51,38,58,51,0,55,40
68,0.6800,7,4,3,5,3,52,47,45,51,45,58,51,37,55,43
