# window sweep: n=24 nd=13824 steps=350 regime=2 gcut=1e-12
step,t,s1_cold,s1_m4,s1_m8,s1_m12,s1_m16,s1_m24,s1_m32,s1_m48,s1_m64,s2_cold,s2_m4,s2_m8,s2_m12,s2_m16,s2_m24,s2_m32,s2_m48,s2_m64,s3_cold,s3_m4,s3_m8,s3_m12,s3_m16,s3_m24,s3_m32,s3_m48,s3_m64
67,67,16,0,0,0,0,0,0,0,0,161,1,0,0,0,0,0,0,0,143,1,0,0,0,0,0,0,0
68,68,16,2,0,0,0,0,0,0,0,164,25,0,0,0,0,0,0,0,146,20,0,0,0,0,0,0,0
69,69,16,0,0,0,0,0,0,0,0,168,14,4,2,1,1,1,0,0,149,15,5,3,3,2,2,4,0
70,70,16,1,0,0,0,0,0,0,0,165,17,4,1,0,0,0,0,0,144,14,1,0,0,0,0,0,0
71,71,16,1,0,0,0,0,0,0,0,159,11,3,0,0,0,0,0,0,141,8,3,0,0,0,0,0,0
72,72,16,1,0,0,0,0,0,0,0,159,9,6,0,0,0,0,0,0,144,13,9,1,0,0,0,0,0
73,73,15,1,0,0,0,0,0,0,0,165,15,11,8,1,0,0,0,0,147,16,13,11,1,0,0,0,0
74,74,16,2,1,1,0,0,0,0,0,168,19,9,8,5,1,0,0,0,144,10,3,1,0,0,0,0,0
75,75,16,2,0,0,0,0,0,0,0,163,7,1,0,0,0,0,0,0,144,5,1,1,0,0,0,0,0
76,76,16,1,0,0,0,0,0,0,0,159,6,1,0,0,0,0,0,0,144,5,2,3,3,1,0,0,0
77,77,15,1,0,0,0,0,0,0,0,148,8,1,1,0,0,0,0,0,139,9,4,4,2,2,2,1,2
78,78,16,1,0,0,0,0,0,0,0,167,26,8,1,1,1,1,0,0,144,7,0,0,0,0,0,0,0
79,79,16,1,0,0,0,0,0,0,0,164,21,1,0,0,0,0,0,0,144,7,1,0,0,0,0,0,0
80,80,16,0,0,0,0,0,0,0,0,162,7,0,0,0,0,0,0,0,146,6,5,3,3,2,1,0,0
81,81,15,0,0,0,0,0,0,0,0,161,5,1,0,0,0,0,0,0,148,7,4,4,2,2,1,0,0
82,82,16,2,0,0,0,0,0,0,0,160,7,2,1,0,0,0,0,0,143,8,0,0,0,0,0,0,0
83,83,16,3,0,0,0,0,0,0,0,165,10,5,1,1,1,0,0,0,144,7,0,0,0,0,0,0,0
84,84,16,2,1,0,0,0,0,0,0,162,4,3,0,0,0,0,0,0,146,13,6,2,0,1,0,0,0
85,85,15,0,0,0,0,0,0,0,0,162,4,1,0,0,0,0,0,0,147,12,6,2,1,1,0,0,0
86,86,15,1,0,0,0,0,0,0,0,163,3,1,1,0,0,0,0,0,146,6,0,0,0,0,0,0,0
87,87,16,1,0,0,0,0,0,0,0,164,6,1,2,2,0,0,0,0,144,5,0,0,0,0,0,0,0
88,88,16,2,0,0,0,0,0,0,0,156,4,3,0,0,0,0,0,0,140,8,3,0,0,0,0,0,0
89,89,15,2,0,0,0,0,0,0,0,162,2,1,0,0,0,0,0,0,146,12,2,0,0,0,0,0,0
90,90,16,1,0,0,0,0,0,0,0,163,6,0,0,0,0,0,0,0,145,8,0,0,0,0,0,0,0
91,91,16,1,0,0,0,0,0,0,0,164,4,1,1,1,0,0,0,0,145,4,1,0,0,0,0,0,0
92,92,16,1,1,0,0,0,0,0,0,167,5,6,6,5,5,5,5,0,148,3,6,5,5,1,2,2,0
93,93,16,2,0,0,0,0,0,0,0,162,5,1,0,0,0,0,0,0,145,3,1,0,0,0,0,0,0
94,94,16,0,0,0,0,0,0,0,0,160,8,0,0,0,0,0,0,0,144,6,0,0,0,0,0,0,0
95,95,15,0,0,0,0,0,0,0,0,162,10,0,0,0,0,0,0,0,145,8,1,0,0,0,0,0,0
96,96,15,2,1,0,0,0,0,0,0,165,8,5,0,0,0,0,0,0,150,13,9,5,6,7,6,6,6
97,97,16,2,1,0,0,0,0,0,0,170,14,5,6,6,5,0,0,0,146,7,1,1,0,0,0,0,0
98,98,16,2,0,0,0,0,0,0,0,164,8,0,0,0,0,0,0,0,145,6,0,0,0,0,0,0,0
99,99,16,0,0,0,0,0,0,0,0,150,7,0,0,0,0,0,0,0,140,4,1,1,0,0,0,0,0
100,100,15,2,0,0,0,0,0,0,0,162,31,10,1,0,0,0,0,0,149,26,10,7,3,3,4,3,0
101,101,16,2,1,0,0,0,0,0,0,167,27,7,1,2,0,0,0,0,146,13,2,0,1,0,0,0,0
102,102,16,2,1,0,0,0,0,0,0,169,23,10,1,0,0,0,0,0,144,7,1,0,0,0,0,0,0
103,103,16,1,0,0,0,0,0,0,0,164,6,1,1,0,0,0,0,0,144,4,3,2,0,0,0,0,0
104,104,16,1,0,0,0,0,0,0,0,160,6,0,0,0,0,0,0,0,147,8,6,6,4,4,2,2,2
105,105,16,0,0,0,0,0,0,0,0,161,8,1,0,0,0,0,0,0,144,4,0,0,0,0,0,0,0
106,106,16,0,0,0,0,0,0,0,0,169,14,1,0,0,0,0,0,0,144,3,0,0,0,0,0,0,0
107,107,16,0,0,0,0,0,0,0,0,167,10,0,0,0,0,0,0,0,145,3,1,0,0,0,0,0,0
108,108,15,0,0,0,0,0,0,0,0,164,5,1,0,0,0,0,0,0,148,7,3,2,4,4,4,4,0
109,109,16,2,1,0,0,0,0,0,0,163,6,1,1,0,0,0,0,0,144,6,1,0,0,0,0,0,0
110,110,16,2,0,0,0,0,0,0,0,161,11,6,1,2,0,0,0,0,139,7,1,0,0,0,0,0,0
111,111,16,2,1,0,0,0,0,0,0,165,7,7,1,0,0,0,0,0,146,11,7,2,0,0,0,0,0
112,112,16,1,0,0,0,0,0,0,0,164,4,2,0,0,0,0,0,0,153,21,13,12,11,11,12,10,10
113,113,16,0,0,0,0,0,0,0,0,164,5,2,1,0,0,0,0,0,144,10,0,1,1,0,0,0,0
114,114,16,1,0,0,0,0,0,0,0,167,10,1,3,6,4,0,0,0,144,6,0,0,0,0,0,0,0
115,115,16,0,0,0,0,0,0,0,0,161,7,2,0,0,0,0,0,0,144,7,1,0,0,0,0,0,0
116,116,16,0,0,0,0,0,0,0,0,160,6,0,0,0,0,0,0,0,151,17,12,5,5,6,6,6,6
117,117,16,0,0,0,0,0,0,0,0,163,10,1,0,0,0,0,0,0,145,7,0,0,0,0,0,0,0
118,118,16,1,0,0,0,0,0,0,0,167,12,2,0,0,0,0,0,0,145,5,2,0,0,0,0,0,0
119,119,16,0,0,0,0,0,0,0,0,166,7,3,1,1,0,0,0,0,146,2,1,1,1,0,0,0,0
120,120,16,0,0,0,0,0,0,0,0,160,1,0,0,0,0,0,0,0,146,3,4,4,4,2,1,1,1
121,121,16,1,0,0,0,0,0,0,0,148,8,0,0,0,0,0,0,0,138,5,2,0,0,0,0,0,0
122,122,16,1,0,0,0,0,0,0,0,162,21,0,0,0,0,0,0,0,144,9,0,0,0,0,0,0,0
123,123,16,0,0,0,0,0,0,0,0,168,26,13,4,4,0,0,0,0,145,12,5,1,0,0,0,0,0
124,124,15,0,0,0,0,0,0,0,0,163,15,0,0,0,0,0,0,0,149,15,7,5,6,7,6,6,6
125,125,16,1,0,0,0,0,0,0,0,160,8,0,0,0,0,0,0,0,144,6,0,0,0,0,0,0,0
