step,t_ms,e0,e1,e2,e3,e4,e5,e6,e7
65,0.6500,-6.6674200331e-02,-5.9896276424e-02,-5.3707701668e-02,-4.7693452037e-02,-5.3006479519e-02,-4.9274786805e-02,-4.5721332178e-02,-4.2123070899e-02
66,0.6600,-6.8730245454e-02,-6.1745762898e-02,-5.5367971353e-02,-4.9169272498e-02,-5.4645445791e-02,-5.0799020788e-02,-4.7136138617e-02,-4.3426897953e-02
67,0.6700,-7.0786290575e-02,-6.3595249370e-02,-5.7028241036e-02,-5.0645092957e-02,-5.6284412061e-02,-5.2323254768e-02,-4.8550945054e-02,-4.4730725005e-02
68,0.6800,-7.2813870937e-02,-6.5419923363e-02,-5.8666835522e-02,-5.2102096963e-02,-5.7902116900e-02,-5.3827882467e-02,-4.9947657170e-02,-4.6017923900e-02
69,0.6900,-7.4776442181e-02,-6.7187729945e-02,-6.0255579090e-02,-5.3515666093e-02,-5.9470891409e-02,-5.5287305686e-02,-5.1302576162e-02,-4.7266645710e-02
70,0.7000,-7.6733056917e-02,-6.8950299990e-02,-6.1839709638e-02,-5.4925195359e-02,-6.1035134073e-02,-5.6742531358e-02,-5.2653604718e-02,-4.8511776664e-02
71,0.7100,-7.8900425590e-02,-7.0902292936e-02,-6.3593763682e-02,-5.6485686378e-02,-6.2767081947e-02,-5.8353711708e-02,-5.4149397704e-02,-4.9890341635e-02
72,0.7200,-8.1585481843e-02,-7.3319576814e-02,-6.5765211144e-02,-5.8416993976e-02,-6.4910974349e-02,-6.0347973036e-02,-5.6000784367e-02,-5.1596668665e-02
73,0.7300,-8.4270538115e-02,-7.5736860711e-02,-6.7936658624e-02,-6.0348301592e-02,-6.7054866770e-02,-6.2342234383e-02,-5.7852171048e-02,-5.3302995712e-02
74,0.7400,-8.6955597441e-02,-7.8154147898e-02,-7.0108107820e-02,-6.2279609962e-02,-6.9198760252e-02,-6.4336498133e-02,-5.9703560747e-02,-5.5009325038e-02
75,0.7500,-8.9615981451e-02,-8.0550119292e-02,-7.2261105163e-02,-6.4195052215e-02,-7.1324585140e-02,-6.6314176899e-02,-6.1539713633e-02,-5.6701718223e-02
76,0.7600,-9.2267084717e-02,-8.2938073739e-02,-7.4407162284e-02,-6.6104526544e-02,-7.3443613733e-02,-6.8285617932e-02,-6.3370136135e-02,-5.8388870015e-02
77,0.7700,-9.4918188729e-02,-8.5326028970e-02,-7.6553220216e-02,-6.8014001708e-02,-7.5562643145e-02,-7.0257059787e-02,-6.5200559451e-02,-6.0076022596e-02
78,0.7800,-9.7569292012e-02,-8.7713983435e-02,-7.8699277356e-02,-6.9923476057e-02,-7.7681671758e-02,-7.2228500840e-02,-6.7030981973e-02,-6.1763174407e-02
79,0.7900,-1.0022039529e-01,-9.0101937900e-02,-8.0845334495e-02,-7.1832950407e-02,-7.9800700370e-02,-7.4199941892e-02,-6.8861404494e-02,-6.3450326219e-02
80,0.8000,-1.0287149858e-01,-9.2489892365e-02,-8.2991391636e-02,-7.3742424757e-02,-8.1919728983e-02,-7.6171382945e-02,-7.0691827017e-02,-6.5137478031e-02
81,0.8100,-1.0552260186e-01,-9.4877846832e-02,-8.5137448778e-02,-7.5651899109e-02,-8.4038757598e-02,-7.8142824000e-02,-7.2522249541e-02,-6.6824629845e-02
82,0.8200,-1.0817370515e-01,-9.7265801302e-02,-8.7283505922e-02,-7.7561373464e-02,-8.6157786215e-02,-8.0114265057e-02,-7.4352672067e-02,-6.8511781660e-02
83,0.8300,-1.1082480844e-01,-9.9653755775e-02,-8.9429563069e-02,-7.9470847821e-02,-8.8276814835e-02,-8.2085706116e-02,-7.6183094596e-02,-7.0198933479e-02
84,0.8400,-1.1347591173e-01,-1.0204171025e-01,-9.1575620219e-02,-8.1380322180e-02,-9.0395843458e-02,-8.4057147179e-02,-7.8013517127e-02,-7.1886085300e-02
85,0.8500,-1.1606637248e-01,-1.0437649649e-01,-9.3674983041e-02,-8.3249048848e-02,-9.2469026000e-02,-8.5986200570e-02,-7.9804725986e-02,-7.3537115550e-02
86,0.8600,-1.1861885701e-01,-1.0667785840e-01,-9.5744878611e-02,-8.5091957590e-02,-9.4513256193e-02,-8.7888431888e-02,-8.1571072760e-02,-7.5165198243e-02
87,0.8700,-1.2117134154e-01,-1.0897922031e-01,-9.7814774177e-02,-8.6934866329e-02,-9.6557486383e-02,-8.9790663202e-02,-8.3337419530e-02,-7.6793280932e-02
88,0.8800,-1.2372382606e-01,-1.1128058221e-01,-9.9884669738e-02,-8.8777775064e-02,-9.8601716567e-02,-9.1692894511e-02,-8.5103766296e-02,-7.8421363617e-02
89,0.8900,-1.2627631119e-01,-1.1358194473e-01,-1.0195456591e-01,-9.0620684402e-02,-1.0064594736e-01,-9.3595126427e-02,-8.6870113647e-02,-8.0049446846e-02
90,0.9000,-1.2882879572e-01,-1.1588330664e-01,-1.0402446148e-01,-9.2463593144e-02,-1.0269017755e-01,-9.5497357743e-02,-8.8636460419e-02,-8.1677529536e-02
91,0.9100,-1.3137835651e-01,-1.1818207391e-01,-1.0609205082e-01,-9.4304463951e-02,-1.0473213848e-01,-9.7397477668e-02,-9.0400841872e-02,-8.3303790436e-02
92,0.9200,-1.3389867996e-01,-1.2045489471e-01,-1.0813657780e-01,-9.6124955403e-02,-1.0675140672e-01,-9.9276483653e-02,-9.2145570119e-02,-8.4911833423e-02
93,0.9300,-1.3641900340e-01,-1.2272771551e-01,-1.1018110479e-01,-9.7945446854e-02,-1.0877067496e-01,-1.0115548964e-01,-9.3890298367e-02,-8.6519876409e-02
