step,t_ms,e0,e1,e2,e3,e4,e5,e6,e7
3686,36.8600,1.4260069648e-01,1.4066877300e-01,1.3869915544e-01,1.3655881816e-01,1.3868063530e-01,1.3695854522e-01,1.3519605582e-01,1.3327359729e-01
3687,36.8700,1.4265546250e-01,1.4072353902e-01,1.3875392146e-01,1.3661358418e-01,1.3873540132e-01,1.3701331124e-01,1.3525082184e-01,1.3332836331e-01
3688,36.8800,1.4271022852e-01,1.4077830504e-01,1.3880868748e-01,1.3666835020e-01,1.3879016734e-01,1.3706807726e-01,1.3530558786e-01,1.3338312933e-01
3689,36.8900,1.4276499454e-01,1.4083307107e-01,1.3886345351e-01,1.3672311622e-01,1.3884493336e-01,1.3712284328e-01,1.3536035388e-01,1.3343789535e-01
3690,36.9000,1.4281976057e-01,1.4088783709e-01,1.3891821953e-01,1.3677788224e-01,1.3889969938e-01,1.3717760930e-01,1.3541511991e-01,1.3349266137e-01
3691,36.9100,1.4287452659e-01,1.4094260311e-01,1.3897298555e-01,1.3683264826e-01,1.3895446540e-01,1.3723237532e-01,1.3546988593e-01,1.3354742739e-01
3692,36.9200,1.4292929261e-01,1.4099736913e-01,1.3902775157e-01,1.3688741428e-01,1.3900923142e-01,1.3728714134e-01,1.3552465195e-01,1.3360219341e-01
3693,36.9300,1.4298405863e-01,1.4105213515e-01,1.3908251759e-01,1.3694218030e-01,1.3906399744e-01,1.3734190737e-01,1.3557941797e-01,1.3365695943e-01
3694,36.9400,1.4303882465e-01,1.4110690117e-01,1.3913728361e-01,1.3699694632e-01,1.3911876346e-01,1.3739667339e-01,1.3563418399e-01,1.3371172545e-01
3695,36.9500,1.4309359067e-01,1.4116166719e-01,1.3919204963e-01,1.3705171235e-01,1.3917352948e-01,1.3745143941e-01,1.3568895001e-01,1.3376649147e-01
3696,36.9600,1.4314835669e-01,1.4121643322e-01,1.3924681565e-01,1.3710647837e-01,1.3922829550e-01,1.3750620543e-01,1.3574371603e-01,1.3382125749e-01
3697,36.9700,1.4320312271e-01,1.4127119924e-01,1.3930158168e-01,1.3716124439e-01,1.3928306153e-01,1.3756097145e-01,1.3579848205e-01,1.3387602351e-01
3698,36.9800,1.4325788873e-01,1.4132596526e-01,1.3935634770e-01,1.3721601041e-01,1.3933782755e-01,1.3761573747e-01,1.3585324807e-01,1.3393078953e-01
3699,36.9900,1.4331265475e-01,1.4138073128e-01,1.3941111372e-01,1.3727077643e-01,1.3939259357e-01,1.3767050349e-01,1.3590801409e-01,1.3398555555e-01
3700,37.0000,1.4336742077e-01,1.4143549730e-01,1.3946587974e-01,1.3732554245e-01,1.3944735959e-01,1.3772526951e-01,1.3596278011e-01,1.3404032157e-01
3701,37.0100,1.4342218680e-01,1.4149026332e-01,1.3952064576e-01,1.3738030847e-01,1.3950212561e-01,1.3778003553e-01,1.3601754613e-01,1.3409508759e-01
3702,37.0200,1.4347695282e-01,1.4154502934e-01,1.3957541178e-01,1.3743507449e-01,1.3955689163e-01,1.3783480156e-01,1.3607231215e-01,1.3414985361e-01
3703,37.0300,1.4353171884e-01,1.4159979537e-01,1.3963017780e-01,1.3748984051e-01,1.3961165765e-01,1.3788956758e-01,1.3612707817e-01,1.3420461964e-01
3704,37.0400,1.4358648486e-01,1.4165456139e-01,1.3968494382e-01,1.3754460653e-01,1.3966642367e-01,1.3794433360e-01,1.3618184420e-01,1.3425938566e-01
3705,37.0500,1.4364125089e-01,1.4170932742e-01,1.3973970985e-01,1.3759937256e-01,1.3972118970e-01,1.3799909963e-01,1.3623661022e-01,1.3431415169e-01
3706,37.0600,1.4369601691e-01,1.4176409344e-01,1.3979447588e-01,1.3765413859e-01,1.3977595572e-01,1.3805386565e-01,1.3629137625e-01,1.3436891771e-01
3707,37.0700,1.4375078293e-01,1.4181885946e-01,1.3984924190e-01,1.3770890461e-01,1.3983072174e-01,1.3810863167e-01,1.3634614227e-01,1.3442368373e-01
3708,37.0800,1.4380554895e-01,1.4187362548e-01,1.3990400792e-01,1.3776367063e-01,1.3988548776e-01,1.3816339769e-01,1.3640090829e-01,1.3447844975e-01
3709,37.0900,1.4386031497e-01,1.4192839150e-01,1.3995877394e-01,1.3781843665e-01,1.3994025378e-01,1.3821816371e-01,1.3645567431e-01,1.3453321577e-01
3710,37.1000,1.4391508099e-01,1.4198315752e-01,1.4001353996e-01,1.3787320267e-01,1.3999501980e-01,1.3827292973e-01,1.3651044033e-01,1.3458798179e-01
3711,37.1100,1.4396984701e-01,1.4203792355e-01,1.4006830598e-01,1.3792796869e-01,1.4004978582e-01,1.3832769575e-01,1.3656520635e-01,1.3464274781e-01
3712,37.1200,1.4402461303e-01,1.4209268957e-01,1.4012307200e-01,1.3798273471e-01,1.4010455184e-01,1.3838246177e-01,1.3661997237e-01,1.3469751383e-01
3713,37.1300,1.4407937906e-01,1.4214745559e-01,1.4017783802e-01,1.3803750073e-01,1.4015931787e-01,1.3843722780e-01,1.3667473839e-01,1.3475227985e-01
3714,37.1400,1.4413414508e-01,1.4220222161e-01,1.4023260405e-01,1.3809226675e-01,1.4021408389e-01,1.3849199382e-01,1.3672950441e-01,1.3480704587e-01
3715,37.1500,1.4418891110e-01,1.4225698763e-01,1.4028737007e-01,1.3814703277e-01,1.4026884991e-01,1.3854675984e-01,1.3678427043e-01,1.3486181189e-01
3716,37.1600,1.4424367712e-01,1.4231175365e-01,1.4034213609e-01,1.3820179880e-01,1.4032361593e-01,1.3860152586e-01,1.3683903645e-01,1.3491657791e-01
3717,37.1700,1.4429844314e-01,1.4236651967e-01,1.4039690211e-01,1.3825656482e-01,1.4037838195e-01,1.3865629188e-01,1.3689380247e-01,1.3497134393e-01
3718,37.1800,1.4435320916e-01,1.4242128569e-01,1.4045166813e-01,1.3831133084e-01,1.4043314797e-01,1.3871105790e-01,1.3694856849e-01,1.3502610995e-01
3719,37.1900,1.4440797518e-01,1.4247605172e-01,1.4050643415e-01,1.3836609686e-01,1.4048791399e-01,1.3876582392e-01,1.3700333451e-01,1.3508087597e-01
3720,37.2000,1.4446274120e-01,1.4253081774e-01,1.4056120017e-01,1.3842086288e-01,1.4054268001e-01,1.3882058994e-01,1.3705810054e-01,1.3513564199e-01
3721,37.2100,1.4451750722e-01,1.4258558376e-01,1.4061596619e-01,1.3847562890e-01,1.4059744603e-01,1.3887535596e-01,1.3711286656e-01,1.3519040802e-01
3722,37.2200,1.4457227324e-01,1.4264034978e-01,1.4067073221e-01,1.3853039492e-01,1.4065221205e-01,1.3893012199e-01,1.3716763258e-01,1.3524517404e-01
3723,37.2300,1.4462703927e-01,1.4269511580e-01,1.4072549824e-01,1.3858516094e-01,1.4070697807e-01,1.3898488801e-01,1.3722239860e-01,1.3529994006e-01
3724,37.2400,1.4468180529e-01,1.4274988182e-01,1.4078026426e-01,1.3863992696e-01,1.4076174409e-01,1.3903965403e-01,1.3727716462e-01,1.3535470608e-01
3725,37.2500,1.4473657131e-01,1.4280464784e-01,1.4083503028e-01,1.3869469299e-01,1.4081651011e-01,1.3909442005e-01,1.3733193064e-01,1.3540947210e-01
3726,37.2600,1.4479133733e-01,1.4285941387e-01,1.4088979630e-01,1.3874945901e-01,1.4087127613e-01,1.3914918607e-01,1.3738669666e-01,1.3546423812e-01
3727,37.2700,1.4484610335e-01,1.4291417989e-01,1.4094456232e-01,1.3880422503e-01,1.4092604216e-01,1.3920395209e-01,1.3744146268e-01,1.3551900414e-01
3728,37.2800,1.4490086937e-01,1.4296894591e-01,1.4099932834e-01,1.3885899105e-01,1.4098080818e-01,1.3925871811e-01,1.3749622870e-01,1.3557377016e-01
3729,37.2900,1.4495563539e-01,1.4302371193e-01,1.4105409436e-01,1.3891375707e-01,1.4103557420e-01,1.3931348413e-01,1.3755099472e-01,1.3562853618e-01
3730,37.3000,1.4501040141e-01,1.4307847795e-01,1.4110886038e-01,1.3896852309e-01,1.4109034022e-01,1.3936825015e-01,1.3760576074e-01,1.3568330220e-01
3731,37.3100,1.4506516743e-01,1.4313324397e-01,1.4116362641e-01,1.3902328911e-01,1.4114510624e-01,1.3942301617e-01,1.3766052676e-01,1.3573806822e-01
3732,37.3200,1.4511993345e-01,1.4318800999e-01,1.4121839243e-01,1.3907805513e-01,1.4119987226e-01,1.3947778220e-01,1.3771529278e-01,1.3579283424e-01
3733,37.3300,1.4517469947e-01,1.4324277602e-01,1.4127315845e-01,1.3913282115e-01,1.4125463828e-01,1.3953254822e-01,1.3777005880e-01,1.3584760026e-01
3734,37.3400,1.4522946550e-01,1.4329754204e-01,1.4132792447e-01,1.3918758717e-01,1.4130940430e-01,1.3958731424e-01,1.3782482483e-01,1.3590236628e-01
3735,37.3500,1.4528423152e-01,1.4335230806e-01,1.4138269049e-01,1.3924235320e-01,1.4136417032e-01,1.3964208026e-01,1.3787959085e-01,1.3595713230e-01
3736,37.3600,1.4533899754e-01,1.4340707408e-01,1.4143745651e-01,1.3929711922e-01,1.4141893634e-01,1.3969684628e-01,1.3793435687e-01,1.3601189832e-01
3737,37.3700,1.4539376356e-01,1.4346184010e-01,1.4149222253e-01,1.3935188524e-01,1.4147370236e-01,1.3975161230e-01,1.3798912289e-01,1.3606666434e-01
3738,37.3800,1.4544852958e-01,1.4351660612e-01,1.4154698855e-01,1.3940665126e-01,1.4152846838e-01,1.3980637832e-01,1.3804388891e-01,1.3612143036e-01
3739,37.3900,1.4550329560e-01,1.4357137214e-01,1.4160175458e-01,1.3946141728e-01,1.4158323440e-01,1.3986114434e-01,1.3809865493e-01,1.3617619639e-01
3740,37.4000,1.4555806162e-01,1.4362613817e-01,1.4165652060e-01,1.3951618330e-01,1.4163800042e-01,1.3991591036e-01,1.3815342095e-01,1.3623096241e-01
3741,37.4100,1.4561282764e-01,1.4368090419e-01,1.4171128662e-01,1.3957094932e-01,1.4169276645e-01,1.3997067639e-01,1.3820818697e-01,1.3628572843e-01
3742,37.4200,1.4566759366e-01,1.4373567021e-01,1.4176605264e-01,1.3962571534e-01,1.4174753247e-01,1.4002544241e-01,1.3826295299e-01,1.3634049445e-01
3743,37.4300,1.4572235968e-01,1.4379043623e-01,1.4182081866e-01,1.3968048136e-01,1.4180229849e-01,1.4008020843e-01,1.3831771901e-01,1.3639526047e-01
3744,37.4400,1.4577712570e-01,1.4384520225e-01,1.4187558468e-01,1.3973524738e-01,1.4185706451e-01,1.4013497445e-01,1.3837248503e-01,1.3645002649e-01
3745,37.4500,1.4583189173e-01,1.4389996827e-01,1.4193035070e-01,1.3979001341e-01,1.4191183053e-01,1.4018974047e-01,1.3842725105e-01,1.3650479251e-01
3746,37.4600,1.4588665775e-01,1.4395473429e-01,1.4198511672e-01,1.3984477943e-01,1.4196659655e-01,1.4024450649e-01,1.3848201707e-01,1.3655955853e-01
3747,37.4700,1.4594142377e-01,1.4400950031e-01,1.4203988275e-01,1.3989954545e-01,1.4202136257e-01,1.4029927251e-01,1.3853678309e-01,1.3661432455e-01
3748,37.4800,1.4599618979e-01,1.4406426634e-01,1.4209464877e-01,1.3995431147e-01,1.4207612859e-01,1.4035403853e-01,1.3859154912e-01,1.3666909057e-01
3749,37.4900,1.4605095581e-01,1.4411903236e-01,1.4214941479e-01,1.4000907749e-01,1.4213089461e-01,1.4040880455e-01,1.3864631514e-01,1.3672385659e-01
3750,37.5000,1.4610572183e-01,1.4417379838e-01,1.4220418081e-01,1.4006384351e-01,1.4218566063e-01,1.4046357057e-01,1.3870108116e-01,1.3677862261e-01
3751,37.5100,1.4616048785e-01,1.4422856440e-01,1.4225894683e-01,1.4011860953e-01,1.4224042665e-01,1.4051833660e-01,1.3875584718e-01,1.3683338863e-01
3752,37.5200,1.4621525387e-01,1.4428333042e-01,1.4231371285e-01,1.4017337555e-01,1.4229519267e-01,1.4057310262e-01,1.3881061320e-01,1.3688815465e-01
3753,37.5300,1.4627001989e-01,1.4433809644e-01,1.4236847887e-01,1.4022814157e-01,1.4234995869e-01,1.4062786864e-01,1.3886537922e-01,1.3694292067e-01
3754,37.5400,1.4632478591e-01,1.4439286246e-01,1.4242324489e-01,1.4028290759e-01,1.4240472471e-01,1.4068263466e-01,1.3892014524e-01,1.3699768669e-01
3755,37.5500,1.4637955194e-01,1.4444762849e-01,1.4247801092e-01,1.4033767362e-01,1.4245949074e-01,1.4073740068e-01,1.3897491126e-01,1.3705245271e-01
3756,37.5600,1.4643431796e-01,1.4450239451e-01,1.4253277694e-01,1.4039243964e-01,1.4251425676e-01,1.4079216670e-01,1.3902967728e-01,1.3710721873e-01
3757,37.5700,1.4648908398e-01,1.4455716053e-01,1.4258754296e-01,1.4044720566e-01,1.4256902278e-01,1.4084693272e-01,1.3908444330e-01,1.3716198476e-01
3758,37.5800,1.4654385000e-01,1.4461192655e-01,1.4264230898e-01,1.4050197168e-01,1.4262378880e-01,1.4090169874e-01,1.3913920932e-01,1.3721675078e-01
3759,37.5900,1.4659861602e-01,1.4466669257e-01,1.4269707500e-01,1.4055673770e-01,1.4267855482e-01,1.4095646476e-01,1.3919397534e-01,1.3727151680e-01
3760,37.6000,1.4665338204e-01,1.4472145859e-01,1.4275184102e-01,1.4061150372e-01,1.4273332084e-01,1.4101123079e-01,1.3924874136e-01,1.3732628282e-01
3761,37.6100,1.4670814806e-01,1.4477622461e-01,1.4280660704e-01,1.4066626974e-01,1.4278808686e-01,1.4106599681e-01,1.3930350738e-01,1.3738104884e-01
3762,37.6200,1.4676291408e-01,1.4483099064e-01,1.4286137306e-01,1.4072103576e-01,1.4284285288e-01,1.4112076283e-01,1.3935827340e-01,1.3743581486e-01
3763,37.6300,1.4681768010e-01,1.4488575666e-01,1.4291613908e-01,1.4077580178e-01,1.4289761890e-01,1.4117552885e-01,1.3941303943e-01,1.3749058088e-01
3764,37.6400,1.4687244612e-01,1.4494052268e-01,1.4297090511e-01,1.4083056780e-01,1.4295238492e-01,1.4123029487e-01,1.3946780545e-01,1.3754534690e-01
3765,37.6500,1.4692721214e-01,1.4499528870e-01,1.4302567113e-01,1.4088533383e-01,1.4300715094e-01,1.4128506089e-01,1.3952257147e-01,1.3760011292e-01
3766,37.6600,1.4698197817e-01,1.4505005472e-01,1.4308043715e-01,1.4094009985e-01,1.4306191696e-01,1.4133982691e-01,1.3957733749e-01,1.3765487894e-01
3767,37.6700,1.4703674419e-01,1.4510482074e-01,1.4313520317e-01,1.4099486587e-01,1.4311668298e-01,1.4139459293e-01,1.3963210351e-01,1.3770964496e-01
3768,37.6800,1.4709151021e-01,1.4515958676e-01,1.4318996919e-01,1.4104963189e-01,1.4317144900e-01,1.4144935895e-01,1.3968686953e-01,1.3776441098e-01
3769,37.6900,1.4714627623e-01,1.4521435279e-01,1.4324473521e-01,1.4110439791e-01,1.4322621503e-01,1.4150412497e-01,1.3974163555e-01,1.3781917700e-01
3770,37.7000,1.4720104225e-01,1.4526911881e-01,1.4329950123e-01,1.4115916393e-01,1.4328098105e-01,1.4155889100e-01,1.3979640157e-01,1.3787394302e-01
3771,37.7100,1.4725580827e-01,1.4532388483e-01,1.4335426725e-01,1.4121392995e-01,1.4333574707e-01,1.4161365702e-01,1.3985116759e-01,1.3792870904e-01
3772,37.7200,1.4731057429e-01,1.4537865085e-01,1.4340903328e-01,1.4126869597e-01,1.4339051309e-01,1.4166842304e-01,1.3990593361e-01,1.3798347506e-01
3773,37.7300,1.4736534031e-01,1.4543341687e-01,1.4346379930e-01,1.4132346199e-01,1.4344527911e-01,1.4172318906e-01,1.3996069963e-01,1.3803824108e-01
3774,37.7400,1.4742010633e-01,1.4548818289e-01,1.4351856532e-01,1.4137822802e-01,1.4350004513e-01,1.4177795508e-01,1.4001546565e-01,1.3809300711e-01
3775,37.7500,1.4747487235e-01,1.4554294891e-01,1.4357333134e-01,1.4143299404e-01,1.4355481115e-01,1.4183272110e-01,1.4007023167e-01,1.3814777313e-01
3776,37.7600,1.4752963838e-01,1.4559771493e-01,1.4362809736e-01,1.4148776006e-01,1.4360957717e-01,1.4188748712e-01,1.4012499769e-01,1.3820253915e-01
3777,37.7700,1.4758440440e-01,1.4565248096e-01,1.4368286338e-01,1.4154252608e-01,1.4366434319e-01,1.4194225314e-01,1.4017976372e-01,1.3825730517e-01
3778,37.7800,1.4763917042e-01,1.4570724698e-01,1.4373762940e-01,1.4159729210e-01,1.4371910921e-01,1.4199701916e-01,1.4023452974e-01,1.3831207119e-01
3779,37.7900,1.4769393644e-01,1.4576201300e-01,1.4379239542e-01,1.4165205812e-01,1.4377387523e-01,1.4205178519e-01,1.4028929576e-01,1.3836683721e-01
3780,37.8000,1.4774870246e-01,1.4581677902e-01,1.4384716145e-01,1.4170682414e-01,1.4382864125e-01,1.4210655121e-01,1.4034406178e-01,1.3842160323e-01
3781,37.8100,1.4780346848e-01,1.4587154504e-01,1.4390192747e-01,1.4176159016e-01,1.4388340727e-01,1.4216131723e-01,1.4039882780e-01,1.3847636925e-01
3782,37.8200,1.4785823450e-01,1.4592631106e-01,1.4395669349e-01,1.4181635618e-01,1.4393817329e-01,1.4221608325e-01,1.4045359382e-01,1.3853113527e-01
3783,37.8300,1.4791300052e-01,1.4598107708e-01,1.4401145951e-01,1.4187112220e-01,1.4399293932e-01,1.4227084927e-01,1.4050835984e-01,1.3858590129e-01
3784,37.8400,1.4796776654e-01,1.4603584311e-01,1.4406622553e-01,1.4192588823e-01,1.4404770534e-01,1.4232561529e-01,1.4056312586e-01,1.3864066731e-01
3785,37.8500,1.4802253256e-01,1.4609060913e-01,1.4412099155e-01,1.4198065425e-01,1.4410247136e-01,1.4238038131e-01,1.4061789188e-01,1.3869543333e-01
3786,37.8600,1.4807729858e-01,1.4614537515e-01,1.4417575757e-01,1.4203542027e-01,1.4415723738e-01,1.4243514733e-01,1.4067265790e-01,1.3875019935e-01
3787,37.8700,1.4813206461e-01,1.4620014117e-01,1.4423052359e-01,1.4209018629e-01,1.4421200340e-01,1.4248991335e-01,1.4072742392e-01,1.3880496537e-01
3788,37.8800,1.4818683063e-01,1.4625490719e-01,1.4428528962e-01,1.4214495231e-01,1.4426676942e-01,1.4254467937e-01,1.4078218994e-01,1.3885973139e-01
3789,37.8900,1.4824159665e-01,1.4630967321e-01,1.4434005564e-01,1.4219971833e-01,1.4432153544e-01,1.4259944540e-01,1.4083695596e-01,1.3891449741e-01
3790,37.9000,1.4829636267e-01,1.4636443923e-01,1.4439482166e-01,1.4225448435e-01,1.4437630146e-01,1.4265421142e-01,1.4089172198e-01,1.3896926343e-01
3791,37.9100,1.4835112869e-01,1.4641920526e-01,1.4444958768e-01,1.4230925037e-01,1.4443106748e-01,1.4270897744e-01,1.4094648800e-01,1.3902402945e-01
3792,37.9200,1.4840589471e-01,1.4647397128e-01,1.4450435370e-01,1.4236401639e-01,1.4448583350e-01,1.4276374346e-01,1.4100125403e-01,1.3907879548e-01
3793,37.9300,1.4846066073e-01,1.4652873730e-01,1.4455911972e-01,1.4241878241e-01,1.4454059952e-01,1.4281850948e-01,1.4105602005e-01,1.3913356150e-01
3794,37.9400,1.4851542675e-01,1.4658350332e-01,1.4461388574e-01,1.4247354844e-01,1.4459536554e-01,1.4287327550e-01,1.4111078607e-01,1.3918832752e-01
3795,37.9500,1.4857019277e-01,1.4663826934e-01,1.4466865176e-01,1.4252831446e-01,1.4465013156e-01,1.4292804152e-01,1.4116555209e-01,1.3924309354e-01
3796,37.9600,1.4862495879e-01,1.4669303536e-01,1.4472341778e-01,1.4258308048e-01,1.4470489758e-01,1.4298280754e-01,1.4122031811e-01,1.3929785956e-01
3797,37.9700,1.4867972482e-01,1.4674780138e-01,1.4477818381e-01,1.4263784650e-01,1.4475966361e-01,1.4303757356e-01,1.4127508413e-01,1.3935262558e-01
3798,37.9800,1.4873449084e-01,1.4680256740e-01,1.4483294983e-01,1.4269261252e-01,1.4481442963e-01,1.4309233959e-01,1.4132985015e-01,1.3940739160e-01
3799,37.9900,1.4878925686e-01,1.4685733343e-01,1.4488771585e-01,1.4274737854e-01,1.4486919565e-01,1.4314710561e-01,1.4138461617e-01,1.3946215762e-01
3800,38.0000,1.4884402288e-01,1.4691209945e-01,1.4494248187e-01,1.4280214456e-01,1.4492396167e-01,1.4320187163e-01,1.4143938219e-01,1.3951692364e-01
3801,38.0100,1.4889878890e-01,1.4696686547e-01,1.4499724789e-01,1.4285691058e-01,1.4497872769e-01,1.4325663765e-01,1.4149414821e-01,1.3957168966e-01
3802,38.0200,1.4895355492e-01,1.4702163149e-01,1.4505201391e-01,1.4291167660e-01,1.4503349371e-01,1.4331140367e-01,1.4154891423e-01,1.3962645568e-01
3803,38.0300,1.4900832094e-01,1.4707639751e-01,1.4510677993e-01,1.4296644262e-01,1.4508825973e-01,1.4336616969e-01,1.4160368025e-01,1.3968122170e-01
3804,38.0400,1.4906308696e-01,1.4713116353e-01,1.4516154595e-01,1.4302120865e-01,1.4514302575e-01,1.4342093571e-01,1.4165844627e-01,1.3973598772e-01
3805,38.0500,1.4911785298e-01,1.4718592955e-01,1.4521631198e-01,1.4307597467e-01,1.4519779177e-01,1.4347570173e-01,1.4171321229e-01,1.3979075374e-01
3806,38.0600,1.4917261900e-01,1.4724069558e-01,1.4527107800e-01,1.4313074069e-01,1.4525255779e-01,1.4353046775e-01,1.4176797831e-01,1.3984551976e-01
3807,38.0700,1.4922738502e-01,1.4729546160e-01,1.4532584402e-01,1.4318550671e-01,1.4530732381e-01,1.4358523377e-01,1.4182274434e-01,1.3990028578e-01
3808,38.0800,1.4928215105e-01,1.4735022762e-01,1.4538061004e-01,1.4324027273e-01,1.4536208983e-01,1.4363999980e-01,1.4187751036e-01,1.3995505180e-01
3809,38.0900,1.4933691707e-01,1.4740499364e-01,1.4543537606e-01,1.4329503875e-01,1.4541685585e-01,1.4369476582e-01,1.4193227638e-01,1.4000981782e-01
3810,38.1000,1.4939168309e-01,1.4745975966e-01,1.4549014208e-01,1.4334980477e-01,1.4547162188e-01,1.4374953184e-01,1.4198704240e-01,1.4006458385e-01
3811,38.1100,1.4944644911e-01,1.4751452568e-01,1.4554490810e-01,1.4340457079e-01,1.4552638790e-01,1.4380429786e-01,1.4204180842e-01,1.4011934987e-01
3812,38.1200,1.4950121513e-01,1.4756929170e-01,1.4559967412e-01,1.4345933681e-01,1.4558115392e-01,1.4385906388e-01,1.4209657444e-01,1.4017411589e-01
3813,38.1300,1.4955598115e-01,1.4762405773e-01,1.4565444015e-01,1.4351410283e-01,1.4563591994e-01,1.4391382990e-01,1.4215134046e-01,1.4022888191e-01
3814,38.1400,1.4961074717e-01,1.4767882375e-01,1.4570920617e-01,1.4356886886e-01,1.4569068596e-01,1.4396859592e-01,1.4220610648e-01,1.4028364793e-01
3815,38.1500,1.4966551319e-01,1.4773358977e-01,1.4576397219e-01,1.4362363488e-01,1.4574545198e-01,1.4402336194e-01,1.4226087250e-01,1.4033841395e-01
3816,38.1600,1.4972027921e-01,1.4778835579e-01,1.4581873821e-01,1.4367840090e-01,1.4580021800e-01,1.4407812796e-01,1.4231563852e-01,1.4039317997e-01
3817,38.1700,1.4977504523e-01,1.4784312181e-01,1.4587350423e-01,1.4373316692e-01,1.4585498402e-01,1.4413289399e-01,1.4237040454e-01,1.4044794599e-01
3818,38.1800,1.4982981125e-01,1.4789788783e-01,1.4592827025e-01,1.4378793294e-01,1.4590975004e-01,1.4418766001e-01,1.4242517056e-01,1.4050271201e-01
3819,38.1900,1.4988457728e-01,1.4795265385e-01,1.4598303627e-01,1.4384269896e-01,1.4596451606e-01,1.4424242603e-01,1.4247993658e-01,1.4055747803e-01
3820,38.2000,1.4993934330e-01,1.4800741987e-01,1.4603780229e-01,1.4389746498e-01,1.4601928208e-01,1.4429719205e-01,1.4253470260e-01,1.4061224405e-01
3821,38.2100,1.4999410932e-01,1.4806218590e-01,1.4609256831e-01,1.4395223100e-01,1.4607404810e-01,1.4435195807e-01,1.4258946863e-01,1.4066701007e-01
3822,38.2200,1.5004887534e-01,1.4811695192e-01,1.4614733434e-01,1.4400699702e-01,1.4612881412e-01,1.4440672409e-01,1.4264423465e-01,1.4072177609e-01
3823,38.2300,1.5010364136e-01,1.4817171794e-01,1.4620210036e-01,1.4406176304e-01,1.4618358014e-01,1.4446149011e-01,1.4269900067e-01,1.4077654211e-01
3824,38.2400,1.5015840738e-01,1.4822648396e-01,1.4625686638e-01,1.4411652907e-01,1.4623834617e-01,1.4451625613e-01,1.4275376669e-01,1.4083130813e-01
3825,38.2500,1.5021317340e-01,1.4828124998e-01,1.4631163240e-01,1.4417129509e-01,1.4629311219e-01,1.4457102215e-01,1.4280853271e-01,1.4088607415e-01
3826,38.2600,1.5026793942e-01,1.4833601600e-01,1.4636639842e-01,1.4422606111e-01,1.4634787821e-01,1.4462578817e-01,1.4286329873e-01,1.4094084017e-01
3827,38.2700,1.5032270544e-01,1.4839078202e-01,1.4642116444e-01,1.4428082713e-01,1.4640264423e-01,1.4468055420e-01,1.4291806475e-01,1.4099560619e-01
3828,38.2800,1.5037747146e-01,1.4844554805e-01,1.4647593046e-01,1.4433559315e-01,1.4645741025e-01,1.4473532022e-01,1.4297283077e-01,1.4105037222e-01
3829,38.2900,1.5043223749e-01,1.4850031407e-01,1.4653069648e-01,1.4439035917e-01,1.4651217627e-01,1.4479008624e-01,1.4302759679e-01,1.4110513824e-01
3830,38.3000,1.5048700351e-01,1.4855508009e-01,1.4658546251e-01,1.4444512519e-01,1.4656694229e-01,1.4484485226e-01,1.4308236281e-01,1.4115990426e-01
3831,38.3100,1.5054176953e-01,1.4860984611e-01,1.4664022853e-01,1.4449989121e-01,1.4662170831e-01,1.4489961828e-01,1.4313712883e-01,1.4121467028e-01
3832,38.3200,1.5059653555e-01,1.4866461213e-01,1.4669499455e-01,1.4455465723e-01,1.4667647433e-01,1.4495438430e-01,1.4319189485e-01,1.4126943630e-01
3833,38.3300,1.5065130157e-01,1.4871937815e-01,1.4674976057e-01,1.4460942325e-01,1.4673124035e-01,1.4500915032e-01,1.4324666087e-01,1.4132420232e-01
3834,38.3400,1.5070606759e-01,1.4877414417e-01,1.4680452659e-01,1.4466418928e-01,1.4678600637e-01,1.4506391634e-01,1.4330142689e-01,1.4137896834e-01
3835,38.3500,1.5076083361e-01,1.4882891019e-01,1.4685929261e-01,1.4471895530e-01,1.4684077239e-01,1.4511868236e-01,1.4335619291e-01,1.4143373436e-01
3836,38.3600,1.5081559963e-01,1.4888367622e-01,1.4691405863e-01,1.4477372132e-01,1.4689553841e-01,1.4517344838e-01,1.4341095894e-01,1.4148850038e-01
3837,38.3700,1.5087036565e-01,1.4893844224e-01,1.4696882465e-01,1.4482848734e-01,1.4695030443e-01,1.4522821441e-01,1.4346572496e-01,1.4154326640e-01
3838,38.3800,1.5092513167e-01,1.4899320826e-01,1.4702359068e-01,1.4488325336e-01,1.4700507046e-01,1.4528298043e-01,1.4352049098e-01,1.4159803242e-01
3839,38.3900,1.5097989769e-01,1.4904797428e-01,1.4707835670e-01,1.4493801938e-01,1.4705983648e-01,1.4533774645e-01,1.4357525700e-01,1.4165279844e-01
3840,38.4000,1.5103466372e-01,1.4910274030e-01,1.4713312272e-01,1.4499278540e-01,1.4711460250e-01,1.4539251247e-01,1.4363002302e-01,1.4170756446e-01
3841,38.4100,1.5108942974e-01,1.4915750632e-01,1.4718788874e-01,1.4504755142e-01,1.4716936852e-01,1.4544727849e-01,1.4368478904e-01,1.4176233048e-01
3842,38.4200,1.5114419576e-01,1.4921227234e-01,1.4724265476e-01,1.4510231744e-01,1.4722413454e-01,1.4550204451e-01,1.4373955506e-01,1.4181709650e-01
3843,38.4300,1.5119896178e-01,1.4926703837e-01,1.4729742078e-01,1.4515708347e-01,1.4727890056e-01,1.4555681053e-01,1.4379432108e-01,1.4187186252e-01
