dim,M,S,overlap,local,scaling,coef,contrast,bc,k,sigma,N,n_sub,Nhat,iter,cg_info,lam_min,lam_max,kappa,omega,axis,axis_label,order
3,13,4,2,ic0,basic,const,1.0,kfaces,3,0.0,2197,64,27,46,0,0.3304323219527383,27.130546160168304,82.1062116436926,1.1450065409586274,kfaces,k=d Dir faces,1
3,13,4,3,ic0,basic,const,1.0,kfaces,3,0.0,2197,64,27,41,0,0.6559179683266301,32.48116865081154,49.52016901393493,1.147262367012583,kfaces,k=d Dir faces,1
3,13,4,0,ic0,sasm,const,1.0,kfaces,3,0.0,2197,64,1,31,0,0.03925111590714625,1.6880061357429321,43.005303078163074,1.119185144213897,kfaces,k=d Dir faces,1
3,13,4,1,ic0,sasm,const,1.0,kfaces,3,0.0,2197,64,8,23,0,0.053931952917291026,1.2517168703857768,23.2091886660471,1.1388347507820602,kfaces,k=d Dir faces,1
3,13,4,2,ic0,sasm,const,1.0,kfaces,3,0.0,2197,64,27,22,0,0.059718914005589374,1.2183711868887273,20.40176394993878,1.1450065409586274,kfaces,k=d Dir faces,1
3,13,4,3,ic0,sasm,const,1.0,kfaces,3,0.0,2197,64,27,22,0,0.06288890921837997,1.2393308537355006,19.7066679822981,1.147262367012583,kfaces,k=d Dir faces,1
3,13,4,0,ic0,basic,const,1.0,mixed,1,0.0,2197,64,1,41,0,0.008277739121533845,1.6889171015743019,204.03120668308156,1.1847212407215846,mixed,1 Dir (mixed),2
3,13,4,1,ic0,basic,const,1.0,mixed,1,0.0,2197,64,8,54,0,0.023551148164162518,8.313813015491629,353.01094271669746,1.187523307694521,mixed,1 Dir (mixed),2
3,13,4,2,ic0,basic,const,1.0,mixed,1,0.0,2197,64,27,64,0,0.05680791111829392,27.130547113285168,477.58395933252837,1.1880847385849587,mixed,1 Dir (mixed),2
3,13,4,3,ic0,basic,const,1.0,mixed,1,0.0,2197,64,27,59,0,0.11773775028540001,32.481181130429704,275.87737197028395,1.1882268781418885,mixed,1 Dir (mixed),2
3,13,4,0,ic0,sasm,const,1.0,mixed,1,0.0,2197,64,1,41,0,0.008277739121533845,1.6889171015743019,204.03120668308156,1.1847212407215846,mixed,1 Dir (mixed),2
3,13,4,1,ic0,sasm,const,1.0,mixed,1,0.0,2197,64,8,31,0,0.011113110889331201,1.2521957977727625,112.67734212702713,1.187523307694521,mixed,1 Dir (mixed),2
3,13,4,2,ic0,sasm,const,1.0,mixed,1,0.0,2197,64,27,29,0,0.01202870936432543,1.262149626934703,104.92810065541761,1.1880847385849587,mixed,1 Dir (mixed),2
3,13,4,3,ic0,sasm,const,1.0,mixed,1,0.0,2197,64,27,28,0,0.012663612423272852,1.2715585025303948,100.41040897568519,1.1882268781418885,mixed,1 Dir (mixed),2
3,13,4,0,ic0,basic,const,1.0,neumann,1,10.0,2197,64,1,30,0,0.03416930085591163,1.6768137372858545,49.07369174326401,1.1732022728973575,neu_s10,"pureNeu sig=10
(~Sys1)",3
3,13,4,1,ic0,basic,const,1.0,neumann,1,10.0,2197,64,8,39,0,0.09948902070836063,8.304709871437975,83.47363168627594,1.1758854530721872,neu_s10,"pureNeu sig=10
(~Sys1)",3
3,13,4,2,ic0,basic,const,1.0,neumann,1,10.0,2197,64,27,55,0,0.23477341903183604,27.12390939505449,115.53228430590092,1.1764174815661943,neu_s10,"pureNeu sig=10
(~Sys1)",3
3,13,4,3,ic0,basic,const,1.0,neumann,1,10.0,2197,64,27,47,0,0.4700069599162072,32.382092782321706,68.89704949921334,1.1765501971418157,neu_s10,"pureNeu sig=10
(~Sys1)",3
3,13,4,0,ic0,sasm,const,1.0,neumann,1,10.0,2197,64,1,30,0,0.03416930085591163,1.6768137372858545,49.07369174326401,1.1732022728973575,neu_s10,"pureNeu sig=10
(~Sys1)",3
3,13,4,1,ic0,sasm,const,1.0,neumann,1,10.0,2197,64,8,22,0,0.04606262433861641,1.2444371404407266,27.016201493267026,1.1758854530721872,neu_s10,"pureNeu sig=10
(~Sys1)",3
3,13,4,2,ic0,sasm,const,1.0,neumann,1,10.0,2197,64,27,22,0,0.05018359671319761,1.253238228368872,24.97306511390977,1.1764174815661943,neu_s10,"pureNeu sig=10
(~Sys1)",3
3,13,4,3,ic0,sasm,const,1.0,neumann,1,10.0,2197,64,27,21,0,0.05377316260364862,1.2617403807989482,23.464128195304188,1.1765501971418157,neu_s10,"pureNeu sig=10
(~Sys1)",3
3,13,4,0,ic0,basic,const,1.0,neumann,1,1.0,2197,64,1,39,0,0.0035672422994159625,1.6882905164428719,473.27609809944306,1.183509188520909,neu_s1,pureNeu sig=1,4
3,13,4,1,ic0,basic,const,1.0,neumann,1,1.0,2197,64,8,51,0,0.010511239316384409,8.31298150247921,790.8659723427037,1.1862977697468333,neu_s1,pureNeu sig=1,4
3,13,4,2,ic0,basic,const,1.0,neumann,1,1.0,2197,64,27,66,0,0.02683427505019768,27.129864093745955,1011.015354169074,1.1868557543323024,neu_s1,pureNeu sig=1,4
3,13,4,3,ic0,basic,const,1.0,neumann,1,1.0,2197,64,27,58,0,0.05874743095485907,32.4711027667606,552.7237913043563,1.1869967800402148,neu_s1,pureNeu sig=1,4
3,13,4,0,ic0,sasm,const,1.0,neumann,1,1.0,2197,64,1,39,0,0.0035672422994159625,1.6882905164428719,473.27609809944306,1.183509188520909,neu_s1,pureNeu sig=1,4
3,13,4,1,ic0,sasm,const,1.0,neumann,1,1.0,2197,64,8,29,0,0.004813101043695811,1.2514830420659653,260.01595036222125,1.1862977697468333,neu_s1,pureNeu sig=1,4
3,13,4,2,ic0,sasm,const,1.0,neumann,1,1.0,2197,64,27,28,0,0.005237182964919818,1.2612234017896893,240.82095474565855,1.1868557543323024,neu_s1,pureNeu sig=1,4
3,13,4,3,ic0,sasm,const,1.0,neumann,1,1.0,2197,64,27,27,0,0.005618667452776158,1.2705392191393763,226.12821097137697,1.1869967800402148,neu_s1,pureNeu sig=1,4
3,13,4,0,ic0,basic,const,1.0,neumann,1,0.1,2197,64,1,43,0,0.0003583312379905612,1.6894613261342484,4714.8033635257625,1.1845993994001374,neu_s.1,"pureNeu sig=0.1
(->Sys2)",5
3,13,4,1,ic0,basic,const,1.0,neumann,1,0.1,2197,64,8,57,0,0.001056944554559543,8.313828279590373,7865.907671055618,1.1874001000360392,neu_s.1,"pureNeu sig=0.1
(->Sys2)",5
3,13,4,2,ic0,basic,const,1.0,neumann,1,0.1,2197,64,27,72,0,0.0027157214325853,27.130479447588762,9990.15551523678,1.1879611807017232,neu_s.1,"pureNeu sig=0.1
(->Sys2)",5
3,13,4,3,ic0,basic,const,1.0,neumann,1,0.1,2197,64,27,63,0,0.005974877353851937,32.480182594293495,5436.125408223465,1.188103206996374,neu_s.1,"pureNeu sig=0.1
(->Sys2)",5
3,13,4,0,ic0,sasm,const,1.0,neumann,1,0.1,2197,64,1,43,0,0.0003583312379905612,1.6894613261342484,4714.8033635257625,1.1845993994001374,neu_s.1,"pureNeu sig=0.1
(->Sys2)",5
3,13,4,1,ic0,sasm,const,1.0,neumann,1,0.1,2197,64,8,31,0,0.0004834977997684453,1.2522148162782327,2589.9079931241426,1.1874001000360392,neu_s.1,"pureNeu sig=0.1
(->Sys2)",5
3,13,4,2,ic0,sasm,const,1.0,neumann,1,0.1,2197,64,27,31,0,0.0005260179381387786,1.262056779381238,2399.265667339792,1.1879611807017232,neu_s.1,"pureNeu sig=0.1
(->Sys2)",5
3,13,4,3,ic0,sasm,const,1.0,neumann,1,0.1,2197,64,27,30,0,0.0005643960482384636,1.27145618436643,2252.7730099010646,1.188103206996374,neu_s.1,"pureNeu sig=0.1
(->Sys2)",5
