dim,S,nx,coef,rho,scheme,exact,iccL,overlap,N,iter,reason,lam_min,lam_max,kappa,Nhat,omega
3,4,25,layers_unaligned,10000.0,3,0,0,3,15625,89,2,1.2251e-06,1.2338,1007000.0,8,1.1336
3,4,25,layers_unaligned,10000.0,3,0,0,4,15625,91,2,1.216e-06,1.2281,1010000.0,8,1.1425
3,4,25,checker,10000.0,0,0,0,0,15625,232,2,6.2001e-06,1.2402,200020.0,1,1.2388
3,4,25,checker,10000.0,0,0,0,1,15625,434,2,7.3204e-06,4.0558,554040.0,4,1.2388
3,4,25,checker,10000.0,0,0,0,2,15625,491,2,1.0601e-05,7.1142,671070.0,7,1.2388
3,4,25,checker,10000.0,0,0,0,3,15625,461,2,1.6253e-05,8.2527,507770.0,8,1.2388
3,4,25,checker,10000.0,0,0,0,4,15625,425,2,2.2329e-05,9.0191,403920.0,8,1.2391
3,4,25,checker,10000.0,3,0,0,0,15625,232,2,6.2001e-06,1.2402,200020.0,1,1.2388
3,4,25,checker,10000.0,3,0,0,1,15625,513,2,5.3559e-06,87.645,16364000.0,4,1.2388
3,4,25,checker,10000.0,3,0,0,2,15625,505,2,5.2335e-06,87.798,16776000.0,7,1.2388
3,4,25,checker,10000.0,3,0,0,3,15625,404,2,5.2313e-06,48.044,9184100.0,8,1.2388
3,4,25,checker,10000.0,3,0,0,4,15625,474,2,5.2835e-06,48.077,9099500.0,8,1.2391
2,4,49,layers,1.0,0,0,0,2,2401,119,2,0.002167,4.3615,2012.7,4,1.2324
2,4,49,layers,10.0,0,0,0,2,2401,129,2,0.00050435,4.2958,8517.5,4,1.2249
2,4,49,layers,100.0,0,0,0,2,2401,136,2,5.6853e-05,4.2546,74834.0,4,1.2331
2,4,49,layers,1000.0,0,0,0,2,2401,144,2,5.7583e-06,4.2553,738990.0,4,1.2327
2,4,49,layers,10000.0,0,0,0,2,2401,153,2,5.7657e-07,4.2554,7380600.0,4,1.2326
2,4,49,layers,1.0,3,0,0,2,2401,79,2,0.0016557,1.267,765.25,4,1.2324
2,4,49,layers,10.0,3,0,0,2,2401,82,2,0.00039375,1.2816,3254.9,4,1.2249
2,4,49,layers,100.0,3,0,0,2,2401,88,2,4.456e-05,1.2901,28952.0,4,1.2331
2,4,49,layers,1000.0,3,0,0,2,2401,94,2,4.5151e-06,1.2912,285970.0,4,1.2327
2,4,49,layers,10000.0,3,0,0,2,2401,101,2,4.5211e-07,1.2913,2856100.0,4,1.2326
2,4,49,layers_unaligned,1.0,0,0,0,2,2401,119,2,0.002167,4.3615,2012.7,4,1.2324
